Item,Tarefa,Eixo,Status,Assunto,Início,Prazo,Concluído em,Responsável
01,Aprovação do projeto e tramitação do TED,Ação Transversal,Não iniciada,TED,01/06/2023,30/09/2023,,Poty Rodrigues de Lucena
02,Contratação de Fundação de Apoio,Ação Transversal,Não iniciada,Fundação de Apoio,29/08/2023,31/10/2023,,Poty Rodrigues de Lucena
03,Ciclo de Produção de Material Didático (1/2),Assistência Técnica,Não iniciada,Material Didático,01/10/2023,31/01/2024,,
04,Editais e Processos Seletivos:  Rede Nordeste de Pesquisadores Formadores do Transporte Escolar,Ação Transversal,Não iniciada,Bolsas de Pesquisa,01/10/2023,31/10/2023,,CCET
05,"Construção de Modelo Dimensional de instanciamento, orquestração e distribuição de dados como produtos",Monitoramento,,Desenvolvimento de Soluções,02/10/2023,30/06/2026,,
06,Desenvolvimento de Algoritmo para implantação de polos e desenvolvimento de ações presenciais de facilitação,Monitoramento,,Desenvolvimento de Soluções,02/10/2023,31/10/2024,,
07,Editais e Processos Seletivos:  Rede DSBR de Pesquisadores Cientistas de Dados,Monitoramento,Não iniciada,Bolsas de Pesquisa,02/10/2023,31/10/2023,,
08,Encontros com os bolsistas para estudos e planejamentos das atividades,Assistência Técnica,Não iniciada,Assistência Técnica,01/11/2023,30/11/2023,,Proplan
09,Organização dos polos territoriais de formação e assistência técnica,Assistência Técnica,Não iniciada,Assistência Técnica,01/11/2023,30/03/2024,,
10,"Pesquisa de Diagnóstico Situacional: necessidades, funcionamento e desafios do transporte escolar (1/4)",Assistência Técnica,Não iniciada,Monitoramento,01/12/2023,20/12/2023,,Proplan
11,Análise de bases de dado por demanda do FNDE,Monitoramento,,Desenvolvimento de Soluções,01/01/2024,30/09/2027,,
12,Construção do Portal Interativo sobre o Transporte Escolar,Monitoramento,,Formação,01/01/2024,30/03/2024,,
13,Elaboração e Publicação de Relatório Preliminar,Assistência Técnica,Não iniciada,Monitoramento,01/01/2024,20/01/2024,,Poty Rodrigues de Lucena
14,Sustentação do Portal Interativo sobre o Transporte Escolar,Monitoramento,,Formação,20/01/2024,30/09/2027,,
15,SIGARP: Desenvolvimento de infraestrutura em arquitetura escalável do Sistema de adesão à Ata de Registro de Preços (SIGARP),Monitoramento,,Desenvolvimento de Soluções,01/03/2024,31/03/2025,,
16,Elaboração do Programa Cecate Nordeste de Formação dos atores do Transporte Escolar 2024 - 2026,Assistência Técnica,Não iniciada,Assistência Técnica,01/03/2024,30/03/2024,,
17,Encontro formativo dos pesquisadores formadores do transporte escolar (1/2),Assistência Técnica,Não iniciada,Formação online,01/03/2024,09/04/2024,,
18,PNATE: Desenvolvimento de painéis e panoramas de monitoramento do Programa Nacional de Transporte Escolar (PNATE),Monitoramento,,Desenvolvimento de Soluções,01/03/2024,30/06/2024,,
19,Ciclo de encontros presenciais para a formação continuada dos atores do transporte escolar - 10 encontros  (1/6),Assistência Técnica,Não iniciada,Formação presencial,01/04/2024,30/06/2024,,Fapex
20,Acompanhamento e controle social: desenvolvimento de painéis e panoramas dos CACS-Fundeb para o monitoramento do transporte escolar,Monitoramento,,Desenvolvimento de Soluções,01/06/2024,31/10/2024,,
